[2026-09-04 18:34:34] [INFO    ] discord.client: logging in using static token
[2026-09-04 18:34:35] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-09-04 18:34:35] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-09-04 18:34:35] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1532596141055672450', 'username': '8fish', 'avatar': None, 'discriminator': '3046', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'vad_colors': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-09-04 18:34:35] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-09-04 18:34:35] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-09-04 18:34:35] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1532596141055672450', 'name': '8fish', 'icon': None, 'description': '', 'type': None, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'flags': 11051008, 'flags_new': '11051008', 'bot': {'id': '1532596141055672450', 'username': '8fish', 'avatar': None, 'discriminator': '3046', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'vad_colors': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'b941550b86b3bdd559acbfdd995b98c5cbe5b2b7b90afa31568fc2fe197c5f5b', 'hook': True, 'storefront_available': False, 'redirect_uris': ['https://discord.com'], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1166448167429083197', 'username': 'notravi_', 'avatar': '2e6d986ae5adc9058462760e8af3c641', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': None, 'global_name': 'grumpy', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'vad_colors': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 3, 'approximate_user_install_count': 1, 'approximate_user_authorization_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'private_channel_obfuscation_enabled': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2528, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 3, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets', 'eligible_oauth2_scopes': ['applications.builds.read', 'applications.commands', 'applications.commands.permissions.update', 'applications.entitlements', 'applications.store.update', 'bot', 'connections', 'email', 'gdm.join', 'guilds', 'guilds.join', 'guilds.members.read', 'identify', 'messages.read', 'openid', 'role_connections.write', 'rpc', 'rpc.activities.write', 'rpc.notifications.read', 'rpc.screenshare.read', 'rpc.screenshare.write', 'rpc.video.read', 'rpc.video.write', 'rpc.voice.read', 'rpc.voice.write', 'webhook.incoming']}
[2026-09-04 18:34:35] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1532596141055672450/guilds/1532642357562970262/commands with [{"name":"joke","description":"Tell a joke","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"parrot","description":"echo back what you say","type":1,"options":[{"type":3,"name":"message","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"whisper","description":"Whisper a message to a user","type":1,"options":[{"type":6,"name":"user","description":"\u2026","required":true},{"type":3,"name":"message","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"shout","description":"Shout a message to a user","type":1,"options":[{"type":6,"name":"user","description":"\u2026","required":true},{"type":3,"name":"message","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"coin","description":"Flip a coin","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"hangman","description":"Play a game of hangman","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"kick","description":"Kick a member","type":1,"options":[{"type":6,"name":"member","description":"\u2026","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"whoami","description":"Check your auth status","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"stracker","description":"Send a link to Stracker","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"link","description":"Link your Discord account to Stracker","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"unlink","description":"Unlink your Discord account from Stracker","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"add-assignment","description":"Add an assignment to Stracker","type":1,"options":[{"type":3,"name":"course","description":"Course name","required":true},{"type":3,"name":"assignment_name","description":"Assignment name","required":true},{"type":3,"name":"due_date","description":"Due date, format MM/DD/YYYY or 'today'","required":true},{"type":3,"name":"priority","description":"How urgent this assignment is","required":true,"choices":[{"name":"High","value":"High"},{"name":"Medium","value":"Medium"},{"name":"Low","value":"Low"}]},{"type":3,"name":"description","description":"Optional notes","required":false}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"pomodoro","description":"Start a Pomodoro timer and be timed out while you study","type":1,"options":[{"type":4,"name":"duration","description":"Pomodoro duration in minutes","required":true}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null}] has returned 200
[2026-09-04 18:34:35] [DEBUG   ] discord.http: PUT /applications/{application_id}/guilds/{guild_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2026-09-04 18:34:35] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1532596141055672450/guilds/1532642357562970262/commands has received [{'id': '1544916357282533388', 'application_id': '1532596141055672450', 'version': '1544916357513089101', 'default_member_permissions': None, 'type': 1, 'name': 'joke', 'name_localizations': None, 'description': 'Tell a joke', 'description_localizations': None, 'guild_id': '1532642357562970262', 'nsfw': False}, {'id': '1544916357282533390', 'application_id': '1532596141055672450', 'version': '1544916357513089102', 'default_member_permissions': None, 'type': 1, 'name': 'parrot', 'name_localizations': None, 'description': 'echo back what you say', 'description_localizations': None, 'guild_id': '1532642357562970262', 'options': [{'type': 3, 'name': 'message', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1544916357282533391', 'application_id': '1532596141055672450', 'version': '1544916357513089103', 'default_member_permissions': None, 'type': 1, 'name': 'whisper', 'name_localizations': None, 'description': 'Whisper a message to a user', 'description_localizations': None, 'guild_id': '1532642357562970262', 'options': [{'type': 6, 'name': 'user', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}, {'type': 3, 'name': 'message', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1544916357282533392', 'application_id': '1532596141055672450', 'version': '1544916357790048287', 'default_member_permissions': None, 'type': 1, 'name': 'shout', 'name_localizations': None, 'description': 'Shout a message to a user', 'description_localizations': None, 'guild_id': '1532642357562970262', 'options': [{'type': 6, 'name': 'user', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}, {'type': 3, 'name': 'message', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1544916357282533394', 'application_id': '1532596141055672450', 'version': '1544916357790048288', 'default_member_permissions': None, 'type': 1, 'name': 'coin', 'name_localizations': None, 'description': 'Flip a coin', 'description_localizations': None, 'guild_id': '1532642357562970262', 'nsfw': False}, {'id': '1544916357282533395', 'application_id': '1532596141055672450', 'version': '1544916357790048289', 'default_member_permissions': None, 'type': 1, 'name': 'hangman', 'name_localizations': None, 'description': 'Play a game of hangman', 'description_localizations': None, 'guild_id': '1532642357562970262', 'nsfw': False}, {'id': '1544916357513089094', 'application_id': '1532596141055672450', 'version': '1544916357790048290', 'default_member_permissions': None, 'type': 1, 'name': 'kick', 'name_localizations': None, 'description': 'Kick a member', 'description_localizations': None, 'guild_id': '1532642357562970262', 'options': [{'type': 6, 'name': 'member', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}], 'nsfw': False}, {'id': '1544916357513089095', 'application_id': '1532596141055672450', 'version': '1544916357790048291', 'default_member_permissions': None, 'type': 1, 'name': 'whoami', 'name_localizations': None, 'description': 'Check your auth status', 'description_localizations': None, 'guild_id': '1532642357562970262', 'nsfw': False}, {'id': '1544916357513089096', 'application_id': '1532596141055672450', 'version': '1544916357790048292', 'default_member_permissions': None, 'type': 1, 'name': 'stracker', 'name_localizations': None, 'description': 'Send a link to Stracker', 'description_localizations': None, 'guild_id': '1532642357562970262', 'nsfw': False}, {'id': '1544916357513089097', 'application_id': '1532596141055672450', 'version': '1544916357790048293', 'default_member_permissions': None, 'type': 1, 'name': 'link', 'name_localizations': None, 'description': 'Link your Discord account to Stracker', 'description_localizations': None, 'guild_id': '1532642357562970262', 'nsfw': False}, {'id': '1544916357513089098', 'application_id': '1532596141055672450', 'version': '1544916357790048294', 'default_member_permissions': None, 'type': 1, 'name': 'unlink', 'name_localizations': None, 'description': 'Unlink your Discord account from Stracker', 'description_localizations': None, 'guild_id': '1532642357562970262', 'nsfw': False}, {'id': '1544916357513089099', 'application_id': '1532596141055672450', 'version': '1545572091917508719', 'default_member_permissions': None, 'type': 1, 'name': 'add-assignment', 'name_localizations': None, 'description': 'Add an assignment to Stracker', 'description_localizations': None, 'guild_id': '1532642357562970262', 'options': [{'type': 3, 'name': 'course', 'name_localizations': None, 'description': 'Course name', 'description_localizations': None, 'required': True}, {'type': 3, 'name': 'assignment_name', 'name_localizations': None, 'description': 'Assignment name', 'description_localizations': None, 'required': True}, {'type': 3, 'name': 'due_date', 'name_localizations': None, 'description': "Due date, format MM/DD/YYYY or 'today'", 'description_localizations': None, 'required': True}, {'type': 3, 'name': 'priority', 'name_localizations': None, 'description': 'How urgent this assignment is', 'description_localizations': None, 'required': True, 'choices': [{'name': 'High', 'name_localizations': None, 'value': 'High'}, {'name': 'Medium', 'name_localizations': None, 'value': 'Medium'}, {'name': 'Low', 'name_localizations': None, 'value': 'Low'}]}, {'type': 3, 'name': 'description', 'name_localizations': None, 'description': 'Optional notes', 'description_localizations': None}], 'nsfw': False}, {'id': '1544916357513089100', 'application_id': '1532596141055672450', 'version': '1544940782190985320', 'default_member_permissions': None, 'type': 1, 'name': 'pomodoro', 'name_localizations': None, 'description': 'Start a Pomodoro timer and be timed out while you study', 'description_localizations': None, 'guild_id': '1532642357562970262', 'options': [{'type': 4, 'name': 'duration', 'name_localizations': None, 'description': 'Pomodoro duration in minutes', 'description_localizations': None, 'required': True}], 'nsfw': False}]
[2026-09-04 18:34:35] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
